,recording_id,artist_name,track_name,lyrics_artist,lyrics_track,lyrics,artist_name_lower
11653,11654,Jay-Z,Anything,Anything,Jay-Z,"Uh huh yea yea
Guru!, you gotta let it bump
Uh uh uh like that yea
Come on, Bring the chorus in

[chorus]
I'd risk everything
Oh, i'd risk everything
Yes i'd do anything, anything
Anything for you

I do a bid
loose a rib
Bust a cap
trust in that
Run up the heaven doors
exchange my life for yours
Leave a steak out the door
mi casa, su casa
Just remembered to turn the lights off in the hall
My brother from anotha pop
minus one shot
We Nino and G-Money man
we all we got
From the stoop to the big dudes
stoppin' us from playin' hoops
And us gettin mad
throwin' rocks off the roof
Straight thuggin' man
i thought we would never progress
But look at us now man
we're young execs
My nigga Dame
my nigga Biggs
my nigga Tah
my nigga ja
my nigga Gotti
we embody
all that's right with the world
No matter how pretty she is
u never likin' my girl
That's how we run
when you ain't around
I'll spank ya son
keep him line
If you should die
i'll keep him like mine
God forbid
keep this in mind
my nigga

[chorus] x2
I'd risk everything
Oh, i'd risk everything
Yes i'd do anything, anything
Anything for you

Mama's lil baby
but these streets raised me crazy
Product of my enviroment
nothing can save me
Thanks for letting me
bloom for your wisdom for your womb
For the roof over my head
for my shoes, for my bed
For the most important lesson in life was when you said:
""Strive for what you believe in, set goals and you can achieve them""
Thanks for the days you kept me breathin'
when my asthma was bad and my chest was weezin'
Thanks for the look of love
Just as i was leavin'
some nights, you thought that i wouldn't come back
I left you grievin'
thanks for holdin' down the household
When times were bad
as a man, i apoligize for my dad
When the rent was due
you would hustle like a pimp would do
That wasnt the life meant for you
your a queen
you deserve the cream
everything that gleams
everything that shines
Everything thats mine

[chorus] x2
I'd risk everything
Oh, i'd risk everything
Yes i'd do anything, anything
Anything for you

Dear nephews
i'm writin' this, wit no pen or a pad
And i'm signin' it
ya uncle, ya best friend, and ya dad
Don't look at before when your feelin' bad
i'm right there
For when you cut to when you peelin' a scab
if it comes a time
And you aint feelin' your real dad
put my face on his body
Dont wait for nobody
Don't follow no nigga
that's hoe shit man
Stand on your own two
Do your shit man
the world is yours
Some girls are nice
Some girls are whores
Don't listen to your crew
Do what works for you
standin' back away from situations gives you the perfect view
You see the snakes in the grass
then you wait on their ass
Bite your tongue for no one
and whatever is said take it
how they want
a closed mouth don't get fed
you know my number when it's code red
or if you're wrong, my nigga
Your my nephew
fuck it we get it on my lil nigga

[chorus] x4
I'd risk everything
Oh, i'd risk everything
Yes i'd do anything, anything
Anything for you",jay-z
11660,11661,Rappin' 4-Tay,Playaz Club,Playaz Club,Rappin' 4-Tay,"(Chorus)
Me and my homies we tighter than a glove
Chop a lot of game is how we do it at the Playaz Club
Check the fool or kick it in the tub
Cuz we kick much ass at the Playaz Club
I got a hoe named Real de Real
She got a buddy named SP-12 now you know the deal
We getz freaky in the studio late night
That's why the beats that you hear are comin real tight
Somethin to roll to somethin to stroll to
If you's a playa in the game this will hold you
Mo money mo money for the bank roll
Stick to the script don't slip in the nine-fo
A lot of fools put salt in the game
Till these women get the notion that they runnin the game huh
I run my own and I'm my own self person
No respect make the situation worse then
Fillmoe, H.P., and Sunnydale
There's a playaz club everywhere you dwell
Lakeview, P.H., and Army Street
A different part of town a different kind of freak
I just wiggle my toes on a mink rug
And press play on the remote at the playaz club

(chorus)
(more champagne, Mr. Forte?)

From day one I had to get my money right
Me, Fly, and Franky J we took a airplane flight huh
They wanted to hear a rap I said alright bet
We dropped the beat and grabbed the mic then they wrote
a check
A few G's for the pocket no hesitation
Took a flight back to the Golden State and
Shops made orders from a whole new capital
Words out 4-Tay's out rappable
Don't need a Glock but I bought one just in case
Suckas try to stop me from pursuin my paper chase
Cuz the chase is on because it don't stop
I got the beat and got the rap you make the Glock pop
So treacherous suckas couldn't sweat this on a bad day
By the way just in case you never heard
Rappin 4-Tay I'm on the smooth tip
Never trippin off them suckas poppin off at the lip
I pop the top off the drank and we can roll some dank bro

Leave the gat at the house bring some dominoes
Take off your shoes relax and get a body rub
And shoot your mackin at these women at the playaz club

(chorus)

You can't resist it but don't get it twisted
V.I.P. that means the number's not listed
Membership is based on clout and how you carry yourself
Now homie what you all about?
I stack paper and kick it with the O.G's
Some got a nine-to-five some drink a lot of keys
You can learn a whole lot from a playa
Some of these playas make a damn good rhyme sayer
A lot of people get a misconception
And start driftin in the wrong direction
Miss goody two sure see you later
I ain't got time you ain't nuthin but a playa hater
I'd rather kick it with the crew in Arizona
They chop game like we do in California
Another show another flow a new bank account
But cash money comes in large amounts
So get your membership but never slip to lame fast
Or else us and fly will have to tap that ass
And drop you to the ground and make your knees scrub
It's just an everyday thang at the playaz club

(chorus)

Me and my homies we tighter than a glove
Chop a lot of game is how we do it at the playaz club
Check the fool or kick it in the tub
Cuz we kick much ass at the Sucka Free club


(4-Tay talking)
Yeah I'd like to send this shout out
to all the playaz club throughout the world
I know they got a Playaz club out there in Chicago
(Fly)
What about that one they got out there in Philly, Fo?
(4-Tay)
You know they got one out there in Atlanta the way they by choppin

(Fly)

Shit, Detroit, New York, Texas
(4-Tay)
Yeah but we gonna move on down to these
playaz clubs close to home like
Seattle, L.A., Bakersfield, San Diego
(Fly)
P.A., V-Town, Richmond, Sacramento
(4-Tay)
Yeah but a special shot goes out to the
playaz club right across the water in the Biggity Piggity O

(Fly)

Yeah and last but definitely not least yeah them
playa clubs they got right there in the
San Francisco mothafuckin bay yeah
Where your playaz club at Fo?
(4-Tay)
My playaz club right in the heart of Fillmoe
(Fly)
Uh, I feel you boy!
(4-Tay)
Where yours at fly?
(Fly)
Man on the corner of Third and Newcomb right in the heart of H.P.!
Huh!
(4-Tay)
This is for all you playaz out there mane we out at the playaz club",rappin' 4-tay
11782,11783,Sean Paul,So Fine,LyricId not more than zero and lyricChecksum length not more than zero.,ricId not more than zero and lyricChecksum length not more than zero.,ic: LyricId not more than zero and lyricChecksum length not more than zero.,sean paul
11846,11847,Lighter Shade Of Brown,On A Sunday Afternoon,Tuesday Afternoon,Jennifer Brown,"It started on a Tuesday afternoon
Josie was one of those easy girls who had wide eyes
And she was drawn in by the incense at the Mission Room Bar
You know, once she got in the boys attacked her like a movie star
And as soon as she got nervous she was drinkin� and smokin�
Like a lover caught chokin� on another man's bone
But clicking her heels wouldn't get her home
She called me laughin� from a pay phone

ON THIS TUESDAY AFTERNOON
JOSIE GOT CAUGHT IN THE MISSION ROOM
WHERE THE MEN ARE CRAZY AND THE WOMEN ARE,TOO
BEFORE YOU KNOW IT�S WEDNESDAY IN THE AFTERNOON
IN THE AFTERNOON

Just before 2:15 in the morning
Josie was doin� the Hustle with a ruffneck named James
And they were bumpin� and grindin� and grindin� and bumpin�
You know once you get there it's hard to stop the bass from pumpin�
And as soon as she was willing, Jimmy�s jeep was rollin�
And her lips were swollen from the fat shit she was tokin�
By 4 o'clock his waterbed was broken
She called me nervous from his cell phone

CHORUS

It ended on a Wednesday afternoon
Josie arrived at my apartment with mascara running down her cheeks
She was crying like a baby, saying, �What a mistake!�
I had to sit on my hands to keep them from slapping her face
'Cause as soon as I asked her if she used protection
I saw Josie�s complexion turn a shade of gray
Now what am I supposed to say?
Just don't party on a weekday

CHORUS",lighter shade of brown
11889,11890,Frost,La Familia,La Raza,Kid Frost,"(Verse 1)
Quihubo aquí estoy and I'm soy Kid Frost
Yo soy jefe matón yes the Big Boss
A pocos lowly
Is for da balas
I'm puttin' in your face and U won't say 'Nada'
Vatos cholos you call as what you will
You say we are assessins si U wanna kill
Is it my brother be a nastyboy and go
Si en da street hold all betters
Chicanos and a brand I proud
Guantes chingazos simon se desquitan
Rigth now in the dirt
What's da matter? Are you afraid, you gonna get hurt?
I'm with my homeboys, --- my camaradas
Keepin' back my millaje, y pa mi no vale nada
Yo soy chingón ese
Like Al Caponne ese
Controlo a todos solo never try to swept me
Some of you don't know what's happenin' que pasa
Now for you, give me, wait...
Cuz this is for La Raza...

(Chorus)
This for La Raza, Raza... (x 2)

(Verse 2)
The form to I'm speakin' is not descaro
Y sabes que loco? Yo soy muy malo
Tu no sabes nada y yo vienes haloh
Beginin' in the head to many times with the palos
Still you are trying to act cool, with that shit no
It's so cool, I'm the cool, you are culo
Is just the big we can takin' and ever
... you're the lava
Your own barrio isn't backin' wa
Be just lookin' your ass
And call to your prover
And so I'm lookin' aleft es lo que pasa...
he he... yeah... this is for La Raza...
Raza, raza...

(Verse 3)
Crusin' en la calle, I hate for the bolo
No want to go with me, so I have to go solo
And when I go out alone... attack
I touch all that cheladas when I don't wanna absttrack
Everytime that I pack my piss, I pull all that quick
All the nazis desease
Just like a song when the 18 bullet
Got my finger on a triker, I'm not afraid to pull it
If this bara had a not say 'mafiosos'
When you pull it away, no seas stupid, eres baboso
Si en then don't you know what's happenin' que pasa... yeah...

This is for La Raza...
Raza... (x 2)",frost
11924,11925,"Three 6 Mafia Featuring Project Pat, Young D & Superpower",Lolli Lolli (Pop That Body),LyricId not more than zero and lyricChecksum length not more than zero.,ricId not more than zero and lyricChecksum length not more than zero.,ic: LyricId not more than zero and lyricChecksum length not more than zero.,"three 6 mafia featuring project pat, young d & superpower"
11950,11951,Twista,Wetter (Calling You Daddy),LyricId not more than zero and lyricChecksum length not more than zero.,ricId not more than zero and lyricChecksum length not more than zero.,ic: LyricId not more than zero and lyricChecksum length not more than zero.,twista
11954,11955,Plies,Hypnotized,Hypnotized (feat. Akon),Plies,"[Intro Plies]
Hey What's Happinin' Homie
It's Your Lil' One Plies man
I Ran Across Da Eyes Of A Lil' Baby Da Other Day Homie
Lil' Mama So Bad She Had Me Hypnotized
I Couldn't Get My Eyes Off Her
Lemme Tell You How It's Like To Be Hypnotized

[Chorus Akon]
You Got Me So Hypnotized
The Way Your Body Rollin Round And Round
That Booty Keep Bumping, Titties Just Bouncin Up And Down
You Got Me So Hypnotized
The Way Your Body Rolling Round And Round
That Booty Keep Bumping, Titties Just Bouncin Up And Down

[Verse 1 Plies]
It's 2 O'clock In The Mornin'
I'm Yiked Up, And I'm Horny
All I Need Now Is Some Moanin'
That Pussy Got Me Zoanin'
Her Vibe Tell Me She Want It
She Gotta F**k How She On Me
I Got Her Tonite Cause She Joanin'
I Know In The Panty She Foamin'
I'm Locked Eyes On That Monkey
I Know She Wet, Cause She Told Me
That Ass On The Shit Pokin'
Every Nigga In Here Scopin'
I See Me Up In Her Pokin'
She Bent Over And I'm Strokin'
Her Cheeks Spread Wide Opened
I'm Beatin It And I'm Focused

[Chorus Akon]
You Got Me So Hypnotized
The Way Your Body Rollin Round And Round
That Booty Keep Bumping, Titties Just Bouncin Up And Down
You Got Me So Hypnotized
The Way Your Body Rollin Round And Round
That Booty Keep Bumping, Titties Just Bouncin Up And Down

[Hook Akon]
Now Do It Some More (Just Like That)
Just Do It Some More (Yes Just like That)


Girl Do It Some More (Now Shake That Ass, Make a Nigga Like Me Spend That Cash)
Now Do It Some More (Just Like That)
Just Do It Some More (Yes Just Like That)
Girl Do It Some More (Now Shake That Ass, And Make a Nigga Like Me Spend That Cash)

[Verse 2 Plies]
She Bad As Hell And She Swoll
I'm Tryna Play In Her Hole
Lil' Mama A Dime, She Cold
I F**k Her Once And She Sold
I Want Her Naked No Clothes
I'm Into Private Shows
No Limit Anything Goes
Imma Let Her Ride Me Her Toes
Just Stand In Front Of Me And Pose
You Touch Mine, I Touch Yours
To Get Her Sprung Is My Goal
First Time I Seen Her I Froze
I Had To Get Her She Knows
She Buck'd It Then She Fold
Cause I'm Too Real And She Knows
She Wanna Goon And It Show

[Chorus Akon]
You Got Me So Hypnotized
The Way Your Body Rollin Round And Round
That Booty Keep Bumping, Titties Just Bouncin Up And Down
You Got Me So Hypnotized
The Way Your Body Rollin Round And Round
That Booty Keep Bumping, Titties Just Bouncin Up And Down

[Hook Akon]
Now Do It Some More (Just Like That)
Just Do It Some More (Yes Just Like That)
Girl Do It Some More (Now Shake That Ass, Make a Nigga Like Me Spend That Cash)
Now Do It Some More (Just Like That)
Just Do It Some More (Yes Just Like That)
Girl Do It Some More (Now Shake That Ass, And Make a Nigga Like Me Spend That Cash)

[Chorus Akon]
You Got Me So Hypnotized
The Way Your Body Rollin Round And Round
That Booty Keep Bumping, Titties Just Bouncin Up And DownYou Got Me So Hypnotized
The Way Your Body Rollin Round And Round
That Booty Keep Bumping, Titties Just Bouncin Up And Down",plies
11967,11968,New Boyz Featuring Ray J,Tie Me Down,Drag It Down,New Model Army,"They started work this morning down at city square
They're pulling down the statues of our great grandfather's hero
The new books said he wasn't such a great man after all
And anyway remember that the times they are a-changing

Ch: Pull it down, drag it down
Till there's nothing to look up to
But the brand names on the posters all around

They proved on television last night that God was just a lie
He never made the world at all
It was just some sweet old fashioned rite
So melt down all the ornaments, move out all the graves
And let us build the disco that we need for our young braves

Ch: Pull it down, drag it down
Till the hopes and dreams of all the ages
Past are shattered on the ground

We think we are so clever killing heroes, killing magic,
Until everything that's sacred is brought down to our level
for Mammon is a jealous master, - leaves no room for any other
All the questions left unanswered, all the answers gone forever
So bow to the woman in the finest fur
Bow to the man with the ace street cool
Bow to the woman with all the power
Bow to the man with all the money
In whose sight are we equal now?
Now that we've killed God",new boyz featuring ray j
11975,11976,Flo Rida Featuring Timbaland,Elevator,Elevator (feat. Timbaland),Flo Rida,"Hey Girl you're comin' with me your comin' with me
Hey Girl you're comin' with me your comin' with me
Hey Girl you're comin' with me your comin' with me
Hey Girl you're comin, ' come on...

Talk to me girl, Let me tell you girl.
Got you stuck on my elevator.
Get it up.On my ehh o ehh oh.

Hey
My first flo step want a gold digging woman
Money cash flow all big faced honeys
Frontin' on the floor got them d-boys running
Shorty got both broke can't see what's comin'
Wear them apple bottoms, wear them apple bottoms honey
Dolce and Gabbana and she get up on my money
Louie Von [? ]
See the carrots on her wrist now she pimps bugs bunny
Used to date Kanye now she want me
While I got my juice wanna take my OJ
It ain't her birthday with her name on a cake
If I ever play for grade A

Got you stuck on my
On my elevator
Get it up, on my elevator
Check it out!

First floor, stuck on the gold digger
Second floor, stuck on the dime piece
Third floor, stuck on the hood rat
Fourth floor, freak it I don't know cause
She's stuck on my ella, e-ella-vator
She's stuck on my ella, e-ella-vator
She's stuck on my ella, e-ella-vator
She's stuck on my...

She gotta nail kit, she gotta hair kit
She gotta a Gucci bag, her brand new outfit
Stuck on my elevator, she on the second floor
Now I want you to break it down, DJ turn it up some more
Hey, dime piece girl turned to Internet hottie
Little mama got that top model body

South Beach preach throwing back-a-that Bacardi
I'll bet you that brand new Fararri

Got you stuck on my
On my elevator
Get it up, on my elevator
Check it out!

First floor, stuck on the gold digger
Second floor, stuck on the dime piece
Third floor, stuck on the hood rat
Fourth floor, freak it I don't know, cause...
She's stuck on my ella, e-ella-vator
She's stuck on my ella, e-ella-vator
She's stuck on my ella, e-ella-vator
She's stuck on my...

My third floor stuck on the hood rat charm
Cut, take boy Hollywood act charm
Short tennis skirt, now she got me in the zone
Tight broach, bump the low ring tone
Roll up [? ] don't smoke Arizona
One night stand one night with the clan
One night, one time broke her off 10 grand.
Project all the way gutta all day

Shorty don't fake she'll put it in your face
Three stories while them hood rats beg

Got you stuck on my
On my elevator
Get it up, on my elevator
Check it out!

First floor, stuck on the gold digger
Second floor, stuck on the dime piece
Third floor, stuck on the hood rat
Fourth floor, freak it I don't know, cause...
She's stuck on my ella, e-ella-vator
She's stuck on my ella, e-ella-vator
She's stuck on my ella, e-ella-vator
She's stuck on my... ",flo rida featuring timbaland
11983,11984,Monie Love,"Full Term Love (From ""Class Act"")",Everlasting Love,Love Affair,"Hearts gone astray, leaving hurt when they go
I went away, just when you, you need me so
You won't regret, I'll come back beggin' you
Won't you forget, welcome love we once knew

Open up your eyes then you realize
Here I stand with my everlasting love
Need you by my side, girl to be my bride
You'll never be denied, everlasting love
From the very start, open up your heart
Be a lasting part of everlasting love

Need a love to last forever
Need a love to last forever

Where life really flows, no one really knows
Till someone's there to show
The way to lasting love
Like the sun that shines, endlessly it shines
You always will be mine, in eternal love
When ever love went wrong, ours would still be strong
We'll have our very own everlasting love

Need a love to last forever
Need a love to last forever

Open up your eyes then you realize
Here I stand with my everlasting love
Need you by my side, girl to be my bride
You'll never be denied, everlasting love
From the very start, open up your heart
Be a lasting part of everlasting love........(fading)",monie love
12010,12011,Ja Rule,Holla Holla,Holla Holla,Ja Rule,"(Holla Holla) All my niggaz that's ready to get
(Dollaz Dollaz) Bitches know who can get em a little
(Hotta Hotta) Come on, If you rollin� wit me
(Follow Follow) Its Murda�

(Holla Holla) All my niggaz that's ready to get
(Dollaz Dollaz) Bitches know who can get em a little
(Hotta Hotta) Come on, If you rollin� wit me
(Follow Follow) Its Murda�

Think you fuckin� wit Ja, Nada
Watcha wanna go Dolla for Dolla?
(Holla Holla) My niggaz is (Hotta Hotta)
Fucks plenty bitches, and dug ditches for petty niggaz
You look in my eyes and tell me
they style ain't ridiculous
(Bitches Bitches) Pop da pussy and bounce like
(Hit it Hit it) Sure if your favorite is long
(Get it Get it) Baby baby don't you wanna leave tonite
and fuck with me
Cause we really need to be freaking off at any costs
It's on me, if you married, then get a divorce
When I hits it, some women get twisted
Have em� twitchin� like �Damn look what the dick did�
I just wanna hit it the worst way, right after a long day
And put the puss on lay-a-way, Heard me?
I'm that, Dirty nigga that get you hot and heat it
Baby girl if you wanted ass, why don't you eat it?

(Holla Holla) All my niggaz that's ready to get
(Dollaz Dollaz) Bitches know who can get em a little
(Hotta Hotta) Come on, If you rollin� wit me
(Follow Follow) Its Murda�

(Holla Holla) All my niggaz that's ready to get
(Dollaz Dollaz) Bitches know who can get em a little
(Hotta Hotta) Come on, If you rollin� wit me
(Follow Follow) Its Murda�

Let me holla at my true thugs
If niggas want warm bust slugs Nigga, what?
I'm hotta hotta and just can't be touched
Plus, anybody that fucks with me, gonna get felt
How many want it? Determines how the slugs get dealt
Cuz I (Spit em� Spit em�)
Choke them niggas like roaches and then
(Clip em� Clip em�) Long as I'm alive,
I'ma (Hit em� Hit em�)
Respect mines, to the day of my demise
Don't fuck with me, cuz the flow�s (Killa Killa)
Whoever eva who wants it?
It's yours, now you gonna
(Get it Get it) (Feela Feela) Nigga full of holes
Treat em� like hoes and show no love to them homo thugs
Its us you wanna fuck with
As soon as them slugs skip from body to body
Go from grave to bit I don't respect it,
plus niggas committed treason
Who wants it with Ja? Who ready to die breathing?

(Holla Holla) All my niggaz that's ready to get
(Dollaz Dollaz) Bitches know who can get em a little
(Hotta Hotta) Come on, If you rollin� wit me
(Follow Follow) Its Murda�

(Holla Holla) All my niggaz that's ready to get
(Dollaz Dollaz) Bitches know who can get em a little
(Hotta Hotta) Come on, If you rollin� wit me
(Follow Follow) Its Murda�

Ja baby, one of the many, many niggas who sip Henny
With the two seaters, sittin on twenties I,
I be wit running in, running out
Then, thou bestow hit em� up, gun em� down
Niggaz ain't ready for Ja, anyway, any how
I give it give it to niggaz, claimin� that they live it
Real (Niggaz Niggaz) brandish the iron and flash
Like (Hold this Hold this) when you got nothing to for
Notice niggaz be hot and more expensive
Focus, ready to rip em� up with the dope, this
My life, niggaz is frontin� and stuntin� for nothing
Better act right, fore� I spark and dim your lights?
I'm a hazard, to niggaz, a bastard
To bitches, when in doubt, go for stealth, and clap the finish
Anything movin� rightfully hit for wrong doin�
I'ma follow and encourage all my niggaz to WHAT?!?

(Holla Holla) All my niggaz that's ready to get
(Dollaz Dollaz) Bitches know who can get em a little
(Hotta Hotta) Come on, If you rollin� wit me
(Follow Follow) Its Murda�

(Holla Holla) All my niggaz that's ready to get
(Dollaz Dollaz) Bitches know who can get em a little
(Hotta Hotta) Come on, If you rollin� wit me
(Follow Follow) Its Murda�

(Holla Holla) All my niggaz that's ready to get
(Dollaz Dollaz) Bitches know who can get em a little
(Hotta Hotta) Come on, If you rollin� wit me
(Follow Follow) Its Murda�

(Holla Holla) All my niggaz that's ready to get
(Dollaz Dollaz) Bitches know who can get em a little
(Hotta Hotta) Come on, If you rollin� wit me
(Follow Follow) Its Murda�

(Holla Holla)",ja rule
12012,12013,Ja Rule Featuring Ashanti,Mesmerize,Mesmerize (feat. Ashanti),Ja Rule,"Haha yea
What up ma
Have you been
Yea I know, I know
It's all good
Murder inc

[Chorus:]
[Ja Rule] Girl your stare those eyes I
[Ashanti] Love it when you look at me baby
[Ja Rule] Your lips, your smile I
[Ashanti] Love it when you kiss me baby
[Ja Rule] Your hips those thighs I
[Ashanti] Love it when you thug me baby
[Ja Rule] And I cant deny I
[Ashanti] Love it when I'm with you baby

[Ja Rule:]
I got a fetish for fucking you with the skirt on
On a back street in the back seat of a Yukon
What's taking so long?
I'm getting anxious but patiently waiting for you to tell a nigga to move on
Between me and you we can find a jet to fly aboard in my private g2
I ain't trying to g you ma, I'm trying to see you
Bend over you know how we do it, feet to shoulders
Bring heat to the coldest night So ferocious
Now u street promoting the dick game is potent
Cause in the bed nigga go hard like jordan sweat pouring
loving the way you be moaning, gripping
the sheets,
Looking at me, Licking at me
Cause every woman just wanna be happy
Its crazy but baby I
[Ashanti] love it when I'm with you baby
[Chorus]

[Ashanti:]
I wanna get away
Cause you know like I know
And there's a better day coming
I'm hooked on your lovin
Believe me
And when you hold my body
I know you need me
Wait for me baby
Ive been going half crazy for your love
And I was told that the sex, better then drugs
Then get addicted *boy listen*
I'm the only piece of the puzzle your missing
Like when *were* kissing (*bye bye bye*)
You got a girl that'll ride, ride, ride
So take me tonight and do what you do to me baby
[Chorus]

[Ja rule]
Shorty Are you really getting bored with me
or him Cause though I play a lot of games
I play them to win
[Ashanti] But then again I'm still young and I'm livin' my life
[Ja rule] Your know you right and I'm the type
to pull up to your bumper get your number
[Ashanti] Baby I can only help but wonder
[Ja rule] What life would be without
[Ashanti] my sweet baby
[Ja rule] and you're my baby
[Ashanti] Holla if you hear me

[Ashanti]
Oooooh oooh oooh
You can understand that my love is pain
And how I feel in vain is just a women thang
[Ja Rule] It's a mans world but I understand
[Ashanti] But there's still nothin different boy, stick to the plan
[Ja Rule] You be my down ass with your round ass
[Ashanti] I know I'm feeling you
[Ja Rule] Like you feeling me
[Ashanti] The way your wantin' my body, The way you touch me
[Chorus]

[Ashanti]
I love when you touch me baby
All over my body baby
I love when you kiss me baby
All over my body baby
I love when you touch me baby
All over my body baby
I love when you kiss me baby
all over my body baby
[Chorus]",ja rule featuring ashanti
12013,12014,Ja Rule,Clap Back/Reigns,Clap Back,Ja Rule,"[Intro - Ja Rule]
Yeah, yeah.. haha yeah!
I gotta get my headphones
All my gangsta niggaz is in the building on this one!
You know! Yeah yeah ya know
It's real!! Hussein what's happ'nin nigga?
I see you, aight Shadow what's poppin BLAT!!
Haha haha, yeah my nigga O-1 in the motherfucking house
Jody in the house (Jody Mack!)
My nigga Cadillac, Gotti what up!?!
Blackchild what up!?!
I'd like to welcome all my niggaz
To the world famous Murda Inc. Show
Big shout to all my Queens niggaz in Staten Island
Niggaz in Uptown, niggaz in Brooklyn niggaz
All my Bronx niggaz yeah, all my Jersey niggaz! you know?
We doing it real big right here! all my money niggaz
This shit commentated on the one's and two's!
They call me the Mighty Rule! how ya living?
This real shit we talking
I wanna ask all my gangsta niggaz a real question (holla back)
What do you do - when niggaz spit at you?!

[Chorus - Ja Rule]
Clap back, we gon' clap back
We gon' clap back, we gon' clap back
(Let's take 'em to war niggaz!)
We gon' clap back, we gon' clap back
We gon' clap back, we gon' clap back
(Let's take 'em to war niggaz)
We gon' clap back, we gon' clap back
We gon' clap back, we gon' clap back
(Let's take 'em to war niggaz!)
We gon' clap back, we gon' clap back
We gon' clap back, we gon' clap back
(Let's take 'em to war niggaz)
We gon' clap back, we gon' clap back

[Verse 1 - Ja Rule]
Fuck if they holl'in about Rule nigga, here's the real
I'll pop ya top like Champagne bottles that chill
Wear nothing but ice, smiles tinted up to The Greatest
Tell em I'm nice too, plus push them nice coupes
The Inc roll like duece man, I'm ol' G Bobby J
And we slingin' soccer fields of yay
They don't respect that, don't get your minds around
You'll get it pushed back, y'all don't want that
I send em to the morgue while keepin my bitches bouncin fa sho
""In Da Club"" with no gun, got em taking it off
Can't help that, I'm the nigga that puts it down
Once I hit that, that's it I'm up in the May (bach)
Send them home in the throwback, West 44 Lakers
Let's make no mistakes, when these reps take place
What's your procedure with a gun in your face?
When you got one in your waist, let's cock back nigga air out the space!
(C'mon!) We gon'

[Chorus]

[Verse 2 - Ja Rule]
Rule be ""In Da Club"" rule motherfucker poppin the bubbly
When shit get ugly I hug the snub closely
But usually we still see your bitches
Bouncin on some freak shit, trying to ride my dick
I can handle it, long as they manage
To get they ass infront of my dick and dance, to Big's ""one more chance""
Catching hate from a glance, but I'm a giant
These niggaz is mere ants, I'll stomp 'em out wit a shank
Give bitches the back hand,this pimp shit, it's not realistic
The game is heavy, let's not get it twisted
I'm young, black, and gifted, but still at the bottom
And stuck somewhere between Gomorrah and Saddam
I'm here to make this rap shit hotter than Harlem
Fuck the Dog beware of Rule, cause I'm the problem
What's your procedure with a gun in your face?
When you got one in your waist, let's cock back nigga air out the space!
(C'mon!) We gon'

[Chorus]

[Verse 3 - Ja Rule]
Like Bush and Saddam, I'm a find out
Where Em Laden's hiding and bomb him first
It could be much worse, I could be hotter than yo scrubs
Mask and glove, gun hot from burnin ass up
I'd rather be bossed up, wit a bunch of broads
The preachers daughter screaming out ""Fuck the lord!""
I may have struck a chord, wit the Christians
But y'all got the freakiest bitches out of all the religions
And God gave me his blessings to handle my business
On these wanksta snitches, let the nina blow kisses
If she some how misses, he gon' meet the mistress
And ""Clap that boy"" like Birdman and Clipse
I got these niggaz all over my dick, like hoes
I'm the star at these shows, I must be as hot as they come
What's your procedure with a gun in your face?
When you got one in your waist, let's cock back nigga air out the space!
(C'mon!) We gon'

[Chorus]

[Outro]
[Ja Rule] Yeah, my nigga 'Zino in this motherfucker
[Benzino] That's how we do it, know what I mean
[Benzino] Buck '89 what's up baby, I see you
[Ja Rule] Break 'em down nigga! break 'em down!
[Benzino] Bring them birds, in the motherfucking house
[Benzino] It's not a game no mo'
[Ja Rule] Queens in this motherfucker
[Benzino] You know
[Ja Rule] All my Jersey niggaz, all my Boston niggaz
[Ja Rule] All my Brooklyn niggaz, Brooklyn sir what up!
[Ja Rule] Haha, yeah, holla at me man",ja rule
